age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,12658,True,True,False
61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,False,True,False
20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,True,False,False
54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,True,True,False
24,non-binary,1,Instagram,Lifestlye,United States,Rural,Software Engineer,17653,True,False,True
38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18787,True,True,True
26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,True,False,False
56,female,8,Instagram,Sports,Australia,Urban,Software Engineer,11074,True,False,False
35,female,1,Instagram,Lifestlye,Australia,Urban,Marketer Manager,14305,True,True,False
21,male,9,Instagram,Travel,United States,Rural,Marketer Manager,13007,False,True,True
42,male,6,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,10969,False,False,True
31,female,4,Instagram,Travel,United Kingdom,Urban,Student,18772,True,False,True
26,male,9,Facebook,Travel,Australia,Rural,Software Engineer,12824,False,False,False
43,female,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,11211,True,True,False
19,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10229,True,True,True
37,female,5,YouTube,Lifestlye,United States,Rural,Student,14284,True,False,True
45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,13185,True,True,False
64,male,1,Facebook,Travel,United States,Urban,Marketer Manager,10501,False,False,False
24,female,8,Facebook,Sports,United States,Sub_Urban,Software Engineer,10048,False,True,True
61,male,8,YouTube,Travel,United States,Sub_Urban,Software Engineer,13566,False,True,False
25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,13055,False,True,True
64,non-binary,4,Instagram,Lifestlye,United States,Rural,Marketer Manager,18880,True,True,True
52,non-binary,2,YouTube,Travel,United Kingdom,Urban,Software Engineer,10386,False,True,False
31,male,2,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,10969,True,False,False
34,male,9,Instagram,Travel,United States,Rural,Marketer Manager,19197,True,False,False
53,male,5,Facebook,Sports,United States,Sub_Urban,Software Engineer,15820,False,True,True
57,male,4,Instagram,Travel,United Kingdom,Urban,Software Engineer,13052,True,False,False
21,non-binary,1,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,17397,False,False,False
19,non-binary,7,Facebook,Sports,Australia,Urban,Software Engineer,12302,False,True,True
23,female,3,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,12283,False,False,True
59,female,6,Instagram,Lifestlye,Australia,Sub_Urban,Student,19799,False,True,False
21,male,5,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,14366,False,False,True
46,non-binary,5,YouTube,Travel,United States,Urban,Student,10122,True,False,True
35,non-binary,5,YouTube,Travel,Australia,Rural,Student,16799,False,False,True
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,19472,False,False,False
61,female,1,Instagram,Travel,Australia,Sub_Urban,Software Engineer,13727,True,False,False
51,female,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,18450,False,False,True
27,non-binary,4,Facebook,Travel,United States,Rural,Student,19139,False,False,True
53,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,14958,True,True,True
31,non-binary,2,Facebook,Sports,Australia,Urban,Student,10524,True,True,False
48,female,8,YouTube,Lifestlye,Australia,Urban,Software Engineer,19079,False,True,True
32,non-binary,2,YouTube,Travel,United States,Sub_Urban,Student,18399,True,True,True
25,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10148,False,False,False
31,male,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,18001,True,False,True
40,male,9,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,10437,False,False,False
57,female,7,Facebook,Lifestlye,United States,Sub_Urban,Software Engineer,13749,False,True,False
38,non-binary,8,Facebook,Sports,United Kingdom,Urban,Marketer Manager,18186,False,True,False
33,non-binary,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,14453,True,True,True
62,male,7,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,15336,False,False,True
35,female,6,Facebook,Sports,United States,Sub_Urban,Software Engineer,14551,True,True,False
64,male,4,Instagram,Travel,United Kingdom,Urban,Marketer Manager,12823,False,False,True
41,male,7,Instagram,Sports,United Kingdom,Urban,Software Engineer,15728,False,True,False
43,male,4,Facebook,Sports,Australia,Rural,Student,18677,False,False,True
42,male,2,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,18391,False,True,False
62,non-binary,7,YouTube,Sports,Australia,Rural,Software Engineer,11982,False,False,False
58,non-binary,8,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16996,True,True,True
46,male,2,Facebook,Sports,United States,Rural,Student,19663,True,True,True
32,female,5,Instagram,Sports,Australia,Rural,Software Engineer,12311,True,False,True
62,female,1,Instagram,Lifestlye,Australia,Rural,Software Engineer,17225,False,False,True
18,female,7,Instagram,Travel,United States,Sub_Urban,Software Engineer,19713,False,True,False
42,female,8,Instagram,Lifestlye,Australia,Urban,Student,10604,True,False,False
24,male,6,Instagram,Lifestlye,United States,Sub_Urban,Student,18175,False,True,True
26,non-binary,5,YouTube,Lifestlye,United Kingdom,Urban,Student,15785,False,False,True
41,female,6,Facebook,Travel,United States,Rural,Software Engineer,19609,False,True,False
18,male,2,YouTube,Sports,Australia,Rural,Student,14597,True,False,True
61,female,1,Instagram,Lifestlye,United States,Rural,Marketer Manager,17759,True,True,True
25,female,7,Instagram,Lifestlye,Australia,Rural,Student,17532,True,True,True
41,male,7,Instagram,Travel,United Kingdom,Rural,Software Engineer,18740,True,True,True
28,non-binary,2,Instagram,Lifestlye,United States,Urban,Marketer Manager,10838,True,False,False
34,non-binary,2,Facebook,Sports,United Kingdom,Urban,Student,13815,False,True,False
25,male,1,Instagram,Travel,Australia,Rural,Marketer Manager,10847,False,False,True
52,non-binary,8,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14709,False,False,False
52,male,8,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,14507,False,False,True
50,male,1,Facebook,Travel,United States,Rural,Marketer Manager,16575,True,True,True
22,male,8,YouTube,Lifestlye,United States,Urban,Marketer Manager,14773,True,False,True
59,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,14468,False,False,False
56,male,4,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,15192,True,False,False
58,female,1,YouTube,Sports,United Kingdom,Sub_Urban,Software Engineer,13320,False,True,False
45,non-binary,1,Instagram,Sports,United States,Rural,Marketer Manager,14698,False,False,False
24,non-binary,3,Instagram,Travel,United States,Sub_Urban,Marketer Manager,14311,False,False,False
26,non-binary,5,Instagram,Travel,United States,Sub_Urban,Marketer Manager,13673,False,False,True
25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,11564,True,False,True
29,female,9,Facebook,Lifestlye,United States,Sub_Urban,Student,11840,False,True,False
51,non-binary,2,YouTube,Sports,United States,Urban,Marketer Manager,16058,True,True,False
50,non-binary,2,Facebook,Lifestlye,Australia,Rural,Student,17131,False,False,False
40,male,6,Facebook,Sports,United States,Rural,Software Engineer,10726,False,False,True
41,non-binary,9,Instagram,Lifestlye,United States,Urban,Marketer Manager,19436,False,False,False
54,female,1,Instagram,Sports,United Kingdom,Urban,Student,16697,False,False,True
52,female,9,Instagram,Lifestlye,United Kingdom,Rural,Marketer Manager,19257,True,True,True
61,female,9,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10282,False,True,False
57,female,9,Instagram,Sports,United States,Sub_Urban,Marketer Manager,11081,True,True,True
39,non-binary,5,Instagram,Lifestlye,Australia,Rural,Student,13885,False,True,True
44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,12881,False,False,False
52,female,4,YouTube,Lifestlye,Australia,Urban,Marketer Manager,12970,False,False,True
18,female,2,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,19344,True,True,False
52,non-binary,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16985,False,True,True
54,female,4,YouTube,Lifestlye,Australia,Sub_Urban,Student,10947,False,False,False
64,male,6,Instagram,Lifestlye,United States,Rural,Student,14760,False,False,False
31,female,3,YouTube,Lifestlye,Australia,Urban,Software Engineer,19909,False,False,True
20,female,6,Instagram,Travel,United States,Sub_Urban,Marketer Manager,10066,False,False,False
18,male,2,YouTube,Travel,United States,Rural,Student,18828,True,False,True
22,male,2,Facebook,Sports,United States,Sub_Urban,Marketer Manager,18505,True,True,True
43,non-binary,9,YouTube,Travel,United States,Urban,Marketer Manager,10564,False,True,False
31,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,19793,False,False,True
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19017,True,False,False
44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,13670,False,True,True
26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,19217,True,False,True
32,female,6,Instagram,Sports,Australia,Sub_Urban,Software Engineer,12251,False,True,False
32,male,7,Instagram,Lifestlye,United States,Urban,Marketer Manager,10804,False,True,True
43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,14631,True,True,True
59,female,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,19583,False,True,True
30,male,1,Instagram,Sports,United States,Rural,Marketer Manager,11235,True,False,True
49,female,7,Instagram,Sports,United Kingdom,Rural,Software Engineer,16720,True,False,True
56,non-binary,5,Instagram,Lifestlye,United States,Urban,Marketer Manager,16906,True,True,True
49,male,3,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,16016,False,False,True
21,female,9,Instagram,Sports,United Kingdom,Urban,Software Engineer,13549,True,False,True
47,male,1,Facebook,Sports,United Kingdom,Rural,Student,17938,True,False,False
54,female,1,YouTube,Lifestlye,United States,Urban,Student,14141,False,False,True
40,non-binary,1,Facebook,Travel,Australia,Urban,Software Engineer,16966,False,True,True
56,non-binary,3,Instagram,Sports,United States,Rural,Student,19546,False,False,False
62,male,6,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,15335,False,True,False
32,female,3,YouTube,Lifestlye,United States,Urban,Marketer Manager,15077,False,True,False
60,male,8,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15611,False,False,True
46,male,2,YouTube,Lifestlye,United States,Sub_Urban,Student,18089,True,True,False
53,female,9,Facebook,Lifestlye,Australia,Rural,Marketer Manager,12892,False,False,False
30,female,3,Instagram,Travel,Australia,Urban,Student,15577,True,False,True
49,female,5,YouTube,Sports,United States,Sub_Urban,Student,13618,False,True,True
24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11559,True,False,False
39,male,2,Instagram,Lifestlye,Australia,Rural,Marketer Manager,16683,True,True,False
45,male,6,YouTube,Travel,United States,Rural,Student,11507,False,True,True
19,non-binary,5,Facebook,Travel,Australia,Rural,Marketer Manager,12063,False,False,True
59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,13642,True,False,True
62,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,12000,False,False,True
23,non-binary,2,Facebook,Sports,United States,Urban,Marketer Manager,11294,False,True,True
45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,14065,True,False,False
45,male,4,YouTube,Travel,United Kingdom,Urban,Marketer Manager,18014,True,True,True
61,non-binary,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,19945,True,True,True
61,male,6,Instagram,Lifestlye,United States,Rural,Student,11603,False,False,True
37,male,2,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,11322,False,False,True
47,male,5,YouTube,Lifestlye,Australia,Rural,Marketer Manager,15956,False,False,True
28,female,7,Instagram,Lifestlye,United Kingdom,Rural,Software Engineer,12441,False,True,False
45,male,7,Instagram,Lifestlye,United States,Sub_Urban,Student,11098,True,False,True
42,male,5,Facebook,Travel,Australia,Urban,Student,15073,False,True,False
56,female,9,YouTube,Sports,United States,Sub_Urban,Student,19697,True,False,True
50,male,4,YouTube,Sports,United States,Urban,Marketer Manager,19318,False,False,False
18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban,Student,18488,False,True,False
44,non-binary,4,YouTube,Sports,United States,Sub_Urban,Software Engineer,13787,True,True,True
30,male,5,Facebook,Lifestlye,United States,Rural,Student,12096,False,False,True
58,female,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,12208,False,False,True
20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,15988,True,False,True
56,female,2,Instagram,Sports,United States,Urban,Student,10175,False,False,True
23,female,4,Facebook,Travel,Australia,Rural,Software Engineer,17169,True,False,False
25,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,16014,True,True,True
44,female,4,YouTube,Sports,United Kingdom,Urban,Student,11667,True,True,True
26,non-binary,3,YouTube,Sports,Australia,Rural,Student,18867,True,True,False
54,female,8,Instagram,Travel,Australia,Rural,Marketer Manager,11823,False,True,True
50,non-binary,4,Facebook,Sports,Australia,Rural,Software Engineer,15147,False,False,False
59,male,2,Facebook,Travel,Australia,Sub_Urban,Student,11356,False,True,True
61,non-binary,2,Facebook,Lifestlye,Australia,Rural,Software Engineer,13072,True,True,False
41,non-binary,1,YouTube,Sports,United States,Rural,Software Engineer,13259,False,True,True
32,non-binary,4,Facebook,Travel,United States,Rural,Software Engineer,16199,False,False,False
49,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10546,False,True,False
49,female,7,Instagram,Sports,United States,Urban,Student,15231,False,False,True
41,male,7,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,17965,True,True,True
58,non-binary,7,YouTube,Travel,United States,Urban,Marketer Manager,12083,True,False,True
29,female,8,Facebook,Sports,Australia,Sub_Urban,Software Engineer,12040,False,True,False
56,male,1,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,14534,True,False,False
19,male,8,Instagram,Travel,United Kingdom,Rural,Software Engineer,11752,False,True,False
20,male,4,Facebook,Travel,United Kingdom,Urban,Software Engineer,19807,False,False,True
54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,11849,False,False,True
34,non-binary,4,Facebook,Lifestlye,United States,Urban,Student,12642,True,True,False
19,non-binary,6,YouTube,Sports,United States,Rural,Marketer Manager,11600,False,False,True
19,female,7,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14402,True,False,False
45,female,6,Facebook,Travel,United Kingdom,Rural,Software Engineer,13799,True,True,True
40,female,1,Instagram,Lifestlye,United States,Rural,Student,10618,False,True,True
54,male,8,Instagram,Lifestlye,United States,Sub_Urban,Student,11132,True,False,False
49,male,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15491,True,True,True
50,non-binary,6,YouTube,Travel,Australia,Rural,Student,15795,False,True,True
18,male,6,YouTube,Lifestlye,Australia,Urban,Marketer Manager,17633,True,True,True
36,male,5,Instagram,Lifestlye,United States,Rural,Marketer Manager,11487,True,False,True
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,17848,False,False,True
61,female,9,Instagram,Sports,Australia,Rural,Student,15009,False,False,False
43,female,9,YouTube,Sports,United Kingdom,Rural,Marketer Manager,19749,True,False,True
49,non-binary,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,12113,False,False,False
23,male,9,Instagram,Lifestlye,Australia,Urban,Software Engineer,11044,False,False,True
49,male,8,Instagram,Travel,Australia,Rural,Marketer Manager,12431,True,False,True
21,non-binary,8,Facebook,Sports,Australia,Rural,Marketer Manager,17979,True,True,False
28,male,1,Instagram,Sports,United States,Sub_Urban,Software Engineer,11582,False,False,False
34,male,5,YouTube,Travel,United Kingdom,Rural,Software Engineer,11308,True,False,True
55,female,4,YouTube,Travel,Australia,Sub_Urban,Student,14917,False,True,True
41,non-binary,2,Instagram,Sports,United Kingdom,Urban,Marketer Manager,18793,False,True,False
22,non-binary,8,YouTube,Travel,United Kingdom,Urban,Student,11620,True,True,False
51,non-binary,3,Instagram,Sports,United Kingdom,Rural,Student,17503,True,False,False
23,non-binary,4,Facebook,Travel,Australia,Rural,Software Engineer,14766,False,True,False
39,female,7,Instagram,Travel,United States,Rural,Student,15362,False,False,True
28,female,9,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,15192,False,False,True
33,male,2,YouTube,Sports,United Kingdom,Rural,Software Engineer,16622,False,False,True
50,male,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,16093,True,True,True
26,male,4,YouTube,Sports,United States,Urban,Marketer Manager,16704,False,True,True
23,male,1,Instagram,Sports,Australia,Rural,Software Engineer,10100,True,False,False
33,female,7,YouTube,Travel,United Kingdom,Urban,Marketer Manager,16657,True,False,False
46,non-binary,2,Instagram,Travel,United States,Rural,Software Engineer,15875,False,False,False
20,female,5,Instagram,Sports,United Kingdom,Urban,Marketer Manager,14271,True,True,True
37,male,1,Facebook,Sports,United States,Rural,Software Engineer,10237,True,False,False
53,female,3,Facebook,Lifestlye,United States,Urban,Student,17226,False,True,True
36,non-binary,2,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,18032,True,False,True
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,15218,True,True,True
20,female,7,YouTube,Lifestlye,Australia,Urban,Marketer Manager,14025,False,False,False
36,female,5,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,16073,False,True,True
37,female,1,YouTube,Travel,Australia,Rural,Marketer Manager,12542,False,True,True
49,male,6,Instagram,Travel,United Kingdom,Rural,Software Engineer,11537,False,True,False
24,female,5,YouTube,Sports,Australia,Rural,Student,10754,False,True,True
58,female,3,YouTube,Lifestlye,United States,Sub_Urban,Student,17396,False,True,False
50,female,7,YouTube,Travel,United Kingdom,Sub_Urban,Student,17823,False,True,True
57,non-binary,9,Facebook,Travel,United Kingdom,Urban,Software Engineer,15507,True,False,False
56,non-binary,9,YouTube,Travel,United States,Sub_Urban,Student,14235,True,False,True
35,male,9,Instagram,Travel,Australia,Urban,Software Engineer,10540,False,False,True
57,male,2,Facebook,Travel,United Kingdom,Urban,Marketer Manager,15510,True,False,False
18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban,Marketer Manager,18461,True,True,True
28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Student,17926,False,False,False
45,non-binary,5,Facebook,Lifestlye,United States,Rural,Software Engineer,15131,True,True,True
42,female,2,Instagram,Lifestlye,Australia,Sub_Urban,Marketer Manager,18697,False,True,False
40,female,3,YouTube,Sports,Australia,Urban,Software Engineer,11129,True,True,True
48,non-binary,6,Instagram,Lifestlye,Australia,Urban,Software Engineer,13145,False,False,True
47,female,7,Instagram,Travel,United Kingdom,Sub_Urban,Marketer Manager,18553,True,True,True
59,female,9,Instagram,Lifestlye,United States,Urban,Software Engineer,13720,True,False,False
52,male,1,YouTube,Sports,United States,Urban,Marketer Manager,19648,True,False,False
24,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,14067,False,False,False
33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,14195,True,False,False
43,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,19873,True,False,False
19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,19244,False,True,True
18,male,6,YouTube,Travel,United Kingdom,Urban,Software Engineer,17281,False,True,True
29,male,7,YouTube,Travel,United Kingdom,Rural,Marketer Manager,12509,True,False,True
22,male,4,YouTube,Sports,United Kingdom,Rural,Marketer Manager,15016,True,True,True
54,non-binary,8,YouTube,Travel,United States,Sub_Urban,Student,16533,True,False,True
49,non-binary,5,YouTube,Travel,United Kingdom,Rural,Student,14727,True,True,False
26,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,10681,False,True,True
58,non-binary,4,YouTube,Travel,Australia,Rural,Software Engineer,13932,True,True,False
52,non-binary,3,Instagram,Lifestlye,Australia,Urban,Software Engineer,15560,True,True,True
36,male,9,Instagram,Lifestlye,United States,Sub_Urban,Marketer Manager,14016,False,True,False
33,female,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,17339,True,True,False
20,male,1,Instagram,Sports,United Kingdom,Urban,Marketer Manager,10719,True,True,False
37,non-binary,6,Facebook,Sports,Australia,Rural,Marketer Manager,10074,True,True,True
41,male,9,Facebook,Travel,United States,Sub_Urban,Software Engineer,19485,False,True,True
50,non-binary,7,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,14157,False,True,True
41,non-binary,4,YouTube,Lifestlye,Australia,Rural,Marketer Manager,18511,True,True,True
28,male,1,Instagram,Lifestlye,United States,Rural,Student,12149,True,True,False
25,non-binary,2,Instagram,Travel,United States,Urban,Marketer Manager,19644,False,True,False
53,female,5,Facebook,Sports,United Kingdom,Rural,Marketer Manager,19747,True,False,False
55,non-binary,5,Instagram,Sports,Australia,Rural,Marketer Manager,16713,True,True,False
57,female,8,Facebook,Lifestlye,United Kingdom,Rural,Software Engineer,14207,False,True,True
37,female,6,YouTube,Travel,Australia,Urban,Student,17141,False,True,False
52,non-binary,8,YouTube,Sports,Australia,Urban,Marketer Manager,18652,False,True,True
42,male,2,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,19078,True,True,False
52,female,3,Instagram,Sports,Australia,Urban,Student,13936,True,True,False
42,male,6,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,19307,True,False,False
46,female,3,YouTube,Lifestlye,Australia,Rural,Software Engineer,11075,True,False,True
35,non-binary,6,Facebook,Travel,United States,Sub_Urban,Marketer Manager,13876,False,False,True
63,non-binary,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,14615,True,True,False
35,female,2,YouTube,Sports,United States,Rural,Software Engineer,17265,True,True,False
19,non-binary,7,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,16379,False,True,False
52,female,2,Facebook,Travel,United Kingdom,Urban,Student,19118,False,False,True
33,non-binary,6,YouTube,Travel,Australia,Urban,Software Engineer,14652,True,True,True
58,male,1,Facebook,Travel,United Kingdom,Urban,Student,16792,False,True,True
53,non-binary,3,Facebook,Sports,United States,Urban,Marketer Manager,19247,False,False,False
50,male,2,YouTube,Sports,United States,Sub_Urban,Software Engineer,17456,True,False,True
21,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,14674,True,True,False
50,male,4,YouTube,Sports,United Kingdom,Rural,Student,10541,True,True,True
31,non-binary,8,Instagram,Sports,United States,Sub_Urban,Marketer Manager,12161,True,True,False
38,male,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,12251,False,True,False
37,female,4,Facebook,Sports,United States,Sub_Urban,Software Engineer,19244,False,False,True
25,female,5,Instagram,Sports,United States,Rural,Marketer Manager,14569,True,True,False
24,male,9,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,12744,True,True,False
20,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,16041,False,False,False
34,male,9,Instagram,Travel,Australia,Rural,Software Engineer,14675,True,True,True
50,non-binary,7,Facebook,Sports,United Kingdom,Rural,Student,11560,True,True,False
29,female,1,Instagram,Sports,United Kingdom,Rural,Student,11164,True,False,True
39,non-binary,8,YouTube,Travel,United Kingdom,Urban,Marketer Manager,15419,True,False,True
39,female,4,YouTube,Travel,Australia,Sub_Urban,Software Engineer,12722,False,True,False
63,non-binary,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,10470,True,False,True
47,non-binary,7,Facebook,Travel,United States,Urban,Student,19608,False,False,False
55,non-binary,3,Instagram,Sports,United States,Rural,Software Engineer,11468,True,True,True
55,male,8,Instagram,Travel,United States,Rural,Student,17925,True,False,False
62,male,6,Instagram,Travel,United Kingdom,Rural,Student,10808,False,True,True
25,female,5,Instagram,Lifestlye,United States,Rural,Software Engineer,18363,True,True,False
44,female,4,YouTube,Travel,United Kingdom,Rural,Software Engineer,16719,False,True,False
44,male,8,YouTube,Travel,United States,Urban,Marketer Manager,15073,True,True,False
51,female,8,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,18012,True,False,False
38,male,1,Instagram,Lifestlye,Australia,Sub_Urban,Student,11645,True,True,True
47,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18249,True,True,True
50,female,5,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,11129,True,True,False
45,female,4,Instagram,Sports,United Kingdom,Urban,Marketer Manager,11353,False,True,True
64,male,6,Instagram,Lifestlye,United States,Urban,Student,10767,False,False,False
50,female,6,Instagram,Lifestlye,Australia,Urban,Student,13895,True,False,False
